colecao,nome_produto,avaliacao_aprovacao,numero_avaliacoes,preco
MYSELF,PINGENTE FERRADURA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE ESTRELA PAVÊ - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE ESTRELA RESINA PÉROLA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 89,00"
MYSELF,PINGENTE ESTRELA RESINA AMAZONITA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 89,00"
MYSELF,PINGENTE ESPIRITO SANTO PAVE - DOURADO,width:100.0%;,1 Avaliação,"R$ 117,00"
MYSELF,PINGENTE ESPÍRITO SANTO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE ENTREMEIO - DOURADO,width:100.0%;,1 Avaliação,"R$ 36,00"
MYSELF,PINGENTE DENTE RESINA TURQUESA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 75,00"
MYSELF,PINGENTE DENTE RESINA TARTARUGA - DOURADO,width:100.0%;,1 Avaliação,"R$ 75,00"
MYSELF,PINGENTE DENTE RESINA PRETO COM CRISTAL - DOURADO,width:100.0%;,1 Avaliação,"R$ 117,00"
MYSELF,PINGENTE DENTE FINO MADREPEROLA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE DADO ROSA SECO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE DENTE RESINA CORAL - DOURADO,width:100.0%;,1 Avaliação,"R$ 75,00"
MYSELF,PINGENTE DENTE RESINA MARFIM COM CRISTAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE FIGA CORAL - DOURADO,width:100.0%;,1 Avaliação,"R$ 117,00"
MYSELF,PINGENTE LETRA I - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA H - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA E - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA G - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA D - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA F - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA C - DOURADO,width:100.0%;,1 Avaliação,"R$ 45,00"
MYSELF,PINGENTE LETRA B - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA A - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LEOPARDO STRASS - DOURADO,width:100.0%;,1 Avaliação,"R$ 177,00"
MYSELF,PINGENTE FLECHA METAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE FIGA VERDE - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,PINGENTE FIGA TURQUESA - DOURADO,width:100.0%;,1 Avaliação,"R$ 147,00"
MYSELF,PINGENTE FIGA TARTARUGA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,PINGENTE FIGA RUBI - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,PINGENTE FIGA PRETO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,PINGENTE FIGA MARFIM - DOURADO,width:100.0%;,1 Avaliação,"R$ 147,00"
MYSELF,PINGENTE LETRA J - DOURADO,width:100.0%;,2 Avaliações,"R$ 45,00"
MYSELF,PINGENTE MÃO RESINA LAVANDA COM OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE MÃO RESINA AZUL COM OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE MÃO RESINA MARFIM COM CORAÇÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE MÃO RESINA ESMERALDA COM CORAÇÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE MÃO DE FÁTIMA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE LETRA Z - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA V - DOURADO,width:100.0%;,1 Avaliação,"R$ 45,00"
MYSELF,PINGENTE LETRA T - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE MÃO RESINA AMBAR COM OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE LETRA X - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA S - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA R - DOURADO,width:100.0%;,1 Avaliação,"R$ 45,00"
MYSELF,PINGENTE LETRA L - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA K - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE LETRA P - DOURADO,width:100.0%;,2 Avaliações,"R$ 45,00"
MYSELF,PINGENTE LETRA N - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE MÃO RESINA RUBI COM CORAÇÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE LETRA M - DOURADO,width:100.0%;,1 Avaliação,"R$ 45,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA AMARELO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE OLHO GREGO PAVÊ - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE OLHO GREGO NAVETE MAIOR - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,PINGENTE NÚMERO 9 - DOURADO,width:100.0%;,1 Avaliação,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 8 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 7 - DOURADO,width:100.0%;,4 Avaliações,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 6 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 5 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 4 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 3 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 2 - DOURADO,width:100.0%;,1 Avaliação,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 1 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE NÚMERO 0 - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE MEDALHA SÃO BENTO COM CRISTAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE MEDALHA MÃO DE FATIMA PAVÊ - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE MEDALHA CIGANO P - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE MEDALHA ANJO - DOURADO,width:100.0%;,1 Avaliação,"R$ 87,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA LARANJA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE SIGNO AQUÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE RESINA FACE SORRINDO - DOURADO,width:100.0%;,1 Avaliação,"R$ 87,00"
MYSELF,PINGENTE REDONDO OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 105,00"
MYSELF,PINGENTE POMBINHA - DOURADO,width:80.0%;,1 Avaliação,"R$ 45,00"
MYSELF,PINGENTE PÉROLA - DOURADO,width:100.0%;,1 Avaliação,"R$ 87,00"
MYSELF,PINGENTE PEIXE ARTICULADO MENOR - PRATEADO,width:90.0%;,2 Avaliações,"R$ 117,00"
MYSELF,PINGENTE PEIXE ARTICULADO MENOR - DOURADO,width:98.0%;,7 Avaliações,"R$ 117,00"
MYSELF,PINGENTE PEDRA NATURAL VERDE - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE PEDRA NATURAL TURQUESA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE PEDRA NATURAL ROXO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE PEDRA NATURAL BRANCA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 27,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA VERDE - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA RUBI - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE PEIXE ARTICULADO MAIOR - DOURADO,width:100.0%;,3 Avaliações,"R$ 177,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA ROYAL - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA PINK - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE PEDRA NATURAL ROSA - DOURADO,width:80.0%;,1 Avaliação,"R$ 27,00"
MYSELF,PINGENTE SIGNO ÁRIES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SÍMBOLO SIGNO GEMEOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 141,60"
MYSELF,PINGENTE SÍMBOLO SIGNO ESCORPIÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO CAPRICÓRNIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO CANCER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO ÁRIES - DOURADO,width:100.0%;,1 Avaliação,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO AQUÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO ESCORPIÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SIGNO GEMEOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 93,60"
MYSELF,PINGENTE SIGNO CANCER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PINGENTE SÍMBOLO SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PULSEIRA SIGNO GEMEOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 309,60"
MYSELF,PINGENTE SIGNO CAPRICÓRNIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,PULSEIRA SIGNO ESCORPIÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO CAPRICÓRNIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO CANCER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA MYSELF ELOS - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,PULSEIRA MYSELF ELOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,PULSEIRA SIGNO ÁRIES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA GANCHO MYSELF M - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA GANCHO MYSELF G - DOURADO,width:100.0%;,3 Avaliações,"R$ 87,00"
MYSELF,PULSEIRA SIGNO AQUÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA ALGEMA MYSELF G - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,PULSEIRA ALGEMA MYSELF M - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,PINGENTE TREVO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE SÍMBOLO SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE SÍMBOLO SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,PINGENTE MEDALHA OLHO GREGO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 57,00"
MYSELF,PINGENTE LETRA O - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,PINGENTE DENTE DE SABRE METAL - PRATA,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE BUZIO PAVE - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA S - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA SIGNO LEÃO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PINGENTE PEDRA NATURAL ACHATADA ROYAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 45,00"
MYSELF,BOTTON LETRA I - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA G - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PULSEIRA SIGNO VIRGEM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO TOURO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO SAGITÁRIO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO PEIXES - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
MYSELF,PULSEIRA SIGNO LIBRA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 387,00"
